pokemon_name	number_of_nodes_in_the_local_comunity	conductance_value_of_the_local_comunity
Dragonite	102	0.3651393481341521
Drednaw	138	0.3963155408597071
Drifblim	107	0.41254125412541254
Dubwool	137	0.4032941176470588
Dugtrio	138	0.4209039548022599
Duraludon	117	0.37253057384760113
Durant	136	0.3998109640831758
Dusclops	94	0.34053546265852513
Dusknoir	140	0.4018161180476731
Eevee	122	0.4043355325164939
Electivire	138	0.3983969825553984
Entei	97	0.3496932515337423
Escavalier	135	0.3813559322033898
Espeon	140	0.4014014014014014
Eternatus	133	0.38005644402634053
Excadrill	93	0.3521923620933522
Exeggutor	130	0.3961375412152614
Exeggutor-Alola	140	0.40579022306597057
Ferrothorn	89	0.3104421448730009
Froslass	140	0.4325226514067716
Gallade	139	0.403954802259887
Garchomp	103	0.3443085606773283
Gardevoir	140	0.41830065359477125
Gastrodon	92	0.35165876777251187
Gengar	108	0.38115734098517456
Gigalith	115	0.3750588235294118
Giratina	107	0.39633286318758815
Glastrier	140	0.41076487252124644
Golduck	140	0.421970768505422
Golisopod	140	0.4168260038240918
Goodra	122	0.3870815652993871
Gothitelle	131	0.38271604938271603
Gourgeist-Super	2	0.3333333333333333
Grimmsnarl	101	0.352497643732328
Groudon	106	0.37064910630291625
Guzzlord	5	0.38461538461538464
Gyarados	101	0.3911404335532517
Hatterene	137	0.36916548797736914
Hawlucha	135	0.4
Haxorus	133	0.3806390977443609
Heatran	98	0.33364750235626767
Heliolisk	138	0.40601503759398494
Hippowdon	117	0.40236406619385345
Hitmonlee	140	0.41984015044663847
Hitmontop	113	0.3855592260500236
Ho-Oh	104	0.3689182805857345
Hydreigon	107	0.3680227057710501
Incineroar	112	0.3468045112781955
Indeedee	118	0.35822306238185253
Indeedee-F	120	0.3628235294117647
Inteleon	111	0.3847601128880527
Jellicent	104	0.389413988657845
Jigglypuff	126	0.412930627654554
Jolteon	136	0.41552941176470587
Jynx	128	0.4115983026874116
Kangaskhan	118	0.3814919735599622
Kartana	99	0.3421176470588235
Kingdra	115	0.37725118483412323
Klefki	132	0.4041353383458647
Koffing	109	0.3858490566037736
Krookodile	140	0.41658812441093307
Kyogre	91	0.37075471698113205
Landorus	100	0.36720997123681687
Landorus-Therian	109	0.34147487083137623
Lapras	101	0.36654135338345867
Latias	97	0.3572439830108542
Latios	140	0.41005802707930367
Liepard	139	0.391304347826087
Lilligant	138	0.41504969238050166
Lopunny	136	0.39416745061147695
Lucario	140	0.4190792596108211
Ludicolo	105	0.3969896519285042
Lugia	117	0.4042352941176471
Lunala	131	0.401789919924635
Luxray	10	0.40540540540540543
Machamp	140	0.418426103646833
Magnezone	140	0.39310995752713546
Malamar	140	0.436241610738255
Mamoswine	122	0.39660056657223797
Mandibuzz	140	0.3825631252977608
Manectric	140	0.40737240075614367
Mantine	140	0.40828402366863903
Marowak-Alola	108	0.37482319660537483
Meowstic	140	0.4083769633507853
Mesprit	140	0.4137767220902613
Metagross	102	0.3427495291902072
Mewtwo	123	0.3530794546309356
Mienshao	111	0.3825187969924812
Milotic	92	0.3433962264150943
Miltank	137	0.4032941176470588
Mime Jr.	140	0.390702274975272
Mimikyu	115	0.3615420780441937
Moltres	119	0.4075471698113208
Moltres-Galar	99	0.34216753431140556
Morpeko	140	0.4062205466540999
Mr. Mime	139	0.42105263157894735
Mr. Mime-Galar	139	0.4167450611476952
Mudsdale	137	0.41304347826086957
Naganadel	117	0.4204813591316659
Necrozma-Dusk-Mane	103	0.3781749764816557
Nidoking	105	0.36222326895902024
Nidoqueen	127	0.40894117647058825
Nihilego	99	0.34524929444967073
Ninetales	126	0.38627819548872183
Ninetales-Alola	118	0.3828088304368248
Obstagoon	126	0.4266917293233083
Omastar	140	0.3993239980685659
Oranguru	112	0.4104372355430183
Palkia	121	0.3788235294117647
Palossand	140	0.4243228890069039
Passimian	114	0.39896373056994816
Pelipper	118	0.39877876937529355
Persian-Alola	132	0.3960302457466919
Pheromosa	105	0.3948235294117647
Pikachu	128	0.3966165413533835
Pincurchin	127	0.41121055110692417
Politoed	105	0.34619002822201317
Polteageist	107	0.3459178857951864
Porygon-Z	108	0.3841059602649007
Porygon2	127	0.3681732580037665
Primarina	93	0.3541666666666667
Quagsire	140	0.4099290780141844
Raichu	93	0.3425970292285577
Raichu-Alola	5	0.4117647058823529
Raikou	111	0.35969509290138163
Rapidash-Galar	138	0.4362745098039216
Rayquaza	128	0.4012258368694012
Regice	93	0.3745283018867924
Regidrago	96	0.3634226610249177
Regieleki	114	0.3705103969754253
Regigigas	107	0.39633286318758815
Regirock	93	0.33553875236294894
Registeel	103	0.36423841059602646
Reshiram	128	0.4027319830428639
Reuniclus	140	0.41291585127201563
Rhydon	118	0.4065002355157796
Rhyperior	113	0.3677782996712071
Ribombee	140	0.4413688978359336
Rillaboom	99	0.3339613754121526
Riolu	134	0.39802166745171924
Roserade	112	0.4085308056872038
Rotom-Heat	88	0.32769158439116125
Rotom-Mow	124	0.3815789473684211
Rotom-Wash	96	0.34149926506614403
Runerigus	140	0.39924314096499525
Sableye	102	0.39576470588235296
Salamence	90	0.33081642284096274
Salazzle	131	0.3690644099670898
Sandaconda	139	0.39416745061147695
Sceptile	140	0.4109910756223579
Scizor	125	0.3919172932330827
Scrafty	139	0.39085337105139084
Seaking	124	0.3788235294117647
Seismitoad	137	0.3925366084081247
Shedinja	140	0.42724252491694353
Shuckle	140	0.4018161180476731
Sirfetch'd	125	0.3970796043334903
Slowbro	140	0.4065281899109792
Slowking-Galar	140	0.4250926416093171
Slurpuff	96	0.3828088304368248
Sneasel	128	0.3634226610249177
Snorlax	105	0.367826904985889
Solgaleo	98	0.36716132120631884
Spectrier	119	0.36380772855796417
Spiritomb	112	0.37376586741889983
Stakataka	101	0.3618823529411765
Stonjourner	116	0.3806146572104019
Suicune	107	0.3459178857951864
Swampert	125	0.4030131826741996
Sylveon	121	0.4061465721040189
Talonflame	101	0.35132575757575757
Tangrowth	140	0.4600522193211488
Tapu Bulu	137	0.40065758572099575
Tapu Fini	118	0.3540197461212976
Tapu Koko	91	0.32484677039132487
Tapu Lele	94	0.3559962228517469
Tauros	138	0.4087694483734088
Terrakion	124	0.3634226610249177
Thievul	140	0.38034790785143396
Thundurus	99	0.3520456707897241
Thundurus-Therian	140	0.38034790785143396
Togedemaru	116	0.3846880907372401
Togekiss	102	0.37488196411709157
Togetic	139	0.4276315789473684
Torkoal	102	0.36466165413533835
Tornadus	124	0.3732193732193732
Tornadus-Therian	140	0.4217687074829932
Torracat	119	0.39314232033818697
Toxapex	140	0.4251182343667893
Toxtricity	140	0.3883029721955896
Trapinch	130	0.41110065851364064
Trevenant	139	0.4118217054263566
Tsareena	116	0.3790511977454204
Turtonator	105	0.401789919924635
Tyranitar	86	0.3248707099200752
Umbreon	119	0.40169332079021636
Urshifu	109	0.3521391631405736
Urshifu-Rapid-Strike	125	0.38381937911571024
Uxie	121	0.39727315467795016
Vanilluxe	115	0.3742911153119093
Venusaur	102	0.3508936970837253
Vikavolt	140	0.3934813415210203
Virizion	140	0.4261119081779053
Volcarona	102	0.3540489642184557
Walrein	140	0.4183529411764706
Wartortle	140	0.39781887150308204
Weavile	129	0.40932642487046633
Weezing	114	0.40037593984962405
Weezing-Galar	124	0.37940761636107195
Whimsicott	109	0.36230514879546527
Xerneas	98	0.3747645951035782
Xurkitree	134	0.4094969440526563
Yveltal	94	0.33175355450236965
Zacian-Crowned	104	0.35355450236966823
Zamazenta-Crowned	121	0.41658812441093307
Zapdos	103	0.3521391631405736
Zapdos-Galar	107	0.3703529411764706
Zekrom	116	0.3846880907372401
Zoroark	140	0.42232779097387174
Zygarde	102	0.3994360902255639
